Name,Firearm,Use count
"""Cyclone"" Will Begin at Night (""Tsiklon"" nachnyotsya nochyu)",  TT-33 ,6
"""Cyclone"" Will Begin at Night (""Tsiklon"" nachnyotsya nochyu)",  Luger P08 ,4
"""Cyclone"" Will Begin at Night (""Tsiklon"" nachnyotsya nochyu)",  Walther P38 ,9
"""Cyclone"" Will Begin at Night (""Tsiklon"" nachnyotsya nochyu)",  Walther PPK ,3
"""Cyclone"" Will Begin at Night (""Tsiklon"" nachnyotsya nochyu)",  PPSh-41 ,8
"""Cyclone"" Will Begin at Night (""Tsiklon"" nachnyotsya nochyu)",  PPS-43 ,8
"""Cyclone"" Will Begin at Night (""Tsiklon"" nachnyotsya nochyu)",  MP40 ,10
"""Cyclone"" Will Begin at Night (""Tsiklon"" nachnyotsya nochyu)",  Holsters ,2
"""Cyclone"" Will Begin at Night (""Tsiklon"" nachnyotsya nochyu)",  BTR-152 ,5
'71, Browning Hi-Power,3
'71, Colt M1911A1,5
'71, FN Model 1922,3
'71, Beretta Model 70,3
'71, Smith & Wesson Model 10 HB,2
'71, FIE Titan Tiger,3
'71, Unknown Revolver,1
'71, L1A1 SLR,7
'71, Ferret Scout Car Mk. II,1
"'Burbs, The", M3 Carbine,3
"'Burbs, The", Colt Detective Special,1
"'Burbs, The", Daisy Air Rifle,1
008: Operation Exterminate,  Remington 1866 Derringer ,3
008: Operation Exterminate,  S&W Model 10 ,1
008: Operation Exterminate, Browning Hi-Power,7
008: Operation Exterminate,  Colt M1911A1 ,1
008: Operation Exterminate, Walther P38,2
008: Operation Exterminate, Beretta M951,2
008: Operation Exterminate, Port Said SMG,5
008: Operation Exterminate, Sten Mk.II.,3
008: Operation Exterminate, Thompson M1A1,3
008: Operation Exterminate, Umbrella Gun,1
009-1: The End of the Beginning, M1911A1,10
009-1: The End of the Beginning, Beretta 92FS,10
009-1: The End of the Beginning," CZ 75 ""First Model""",6
009-1: The End of the Beginning, Various Pistols,5
009-1: The End of the Beginning, Stun Pistol,3
009-1: The End of the Beginning, Futuristic Pistol,4
009-1: The End of the Beginning, Scanner Pistol,3
009-1: The End of the Beginning, Sa vz. 61 Skorpion,4
009-1: The End of the Beginning, M4A1 Carbine,11
009-1: The End of the Beginning, AK-47,7
009-1: The End of the Beginning, GIAT F2,3
009-1: The End of the Beginning, ZT3 Ingwe,3
10 Cloverfield Lane, Taurus Model 66,2
10 Minutes Gone, Beretta M9A1 Inox,1
10 Minutes Gone, Beretta 92FS,1
10 Minutes Gone, Glock 17,1
10 Minutes Gone, Ruger SP101,1
10 to Midnight, Colt Detective Special,7
10 to Midnight,  Smith & Wesson Revolvers ,4
100 Bloody Acres, Smith & Wesson Model 15,2
100 Bloody Acres, Lee-Enfield No. 1 Mk III,2
100 Days Before the Command (Sto dney do prikaza...),  AK-74 ,9
100 Days Before the Command (Sto dney do prikaza...),  AKM ,8
100 Days Before the Command (Sto dney do prikaza...),  Holsters ,1
100 Days Before the Command (Sto dney do prikaza...),  Armour ,4
100 Days Before the Command (Sto dney do prikaza...),  Posters ,0
100 Rifles,  Colt Model 1902 ,5
100 Rifles,  Colt New Service ,3
100 Rifles,  Single Action Army ,2
100 Rifles,  Winchester Model 1892 ,4
100 Rifles,  Springfield M1903 ,4
100 Rifles,  Krag-Jørgensen Model 1896 ,3
