Name,Firearm,Use count
"100, The - Season 1", FN FiveseveN,2
"100, The - Season 1", Colt M4A1,2
"100, The - Season 1", FN SCAR-L,3
"100, The - Season 2", Walther P99,1
"100, The - Season 2", Ruger KP89,4
"100, The - Season 2", Walther P99QA,4
"100, The - Season 2", Smith & Wesson Model 60,1
"100, The - Season 2", Colt M4A1,2
"100, The - Season 2", Heckler & Koch G36K,1
"100, The - Season 2", AK-74,2
"100, The - Season 2", Beretta Mx4 Storm,1
"100, The - Season 2", Norinco QBZ-97,3
"100, The - Season 2", CAA Tactical RONI,4
"100, The - Season 2", Remington Model 700,2
"100, The - Season 2", RPG-7,1
"100, The - Season 3", Walther P99,2
"100, The - Season 3", Ruger KP89,1
"100, The - Season 3", Smith & Wesson Model 60,1
"100, The - Season 3", Taurus PT92AFS,1
"100, The - Season 3", Beretta Mx4 Storm,2
"100, The - Season 3", Norinco QBZ-97,1
"100, The - Season 3", CAA Tactical RONI,1
"100, The - Season 3", Mossberg 500 Cruiser,2
"100, The - Season 3", Daewoo K3,2
"100, The - Season 3", FN Minimi,2
"100, The - Season 3", M134 Minigun,2
"100, The - Season 4", Ruger KP89,1
"100, The - Season 4", Walther P99,2
"100, The - Season 4", Sawed off shotgun,1
"100, The - Season 4", Beretta Mx4 Storm,1
"100, The - Season 4", Norinco QBZ-97,1
"100, The - Season 4", CAA Tactical RONI,2
"100, The - Season 4", Customized Lee-Enfield Rifle,3
"100, The - Season 4", Remington 700,1
"100, The - Season 4", Savage Arms AXIS,1
"100, The - Season 4", M134 Minigun,2
12 Monkeys (TV Series),,0
12 Monkeys - Season 1, Heckler & Koch USP ,1
12 Monkeys - Season 1, Beretta 92FS,1
12 Monkeys - Season 1, Beretta M9A3,2
12 Monkeys - Season 1, Smith & Wesson Model 10 HB,1
12 Monkeys - Season 1, Heckler & Koch MP5A3,2
12 Monkeys - Season 1, Mossberg 500 Cruiser,2
12 Monkeys - Season 1, Colt M4A1,1
12 Monkeys - Season 2, Walther P99,1
12 Monkeys - Season 2, EKOL Dicle,1
12 Monkeys - Season 2, KRISS Vector,1
12 Monkeys - Season 2, Colt M4A1,1
12 Monkeys - Season 3, Mauser C96,1
12 Monkeys - Season 3,  Beretta 92FS ,1
12 Monkeys - Season 3, Heckler & Koch MP5A3,0
12 Monkeys - Season 3,  Mauser Gewehr 1898 ,1
12 Monkeys - Season 4, Heckler & Koch MP5K,1
12 Monkeys - Season 4, Heckler & Koch UMP,1
12 Monkeys - Season 4, Colt M4A1,2
14 - Diaries of the Great War, Luger P08,4
14 - Diaries of the Great War, St. Etienne Mle 1892 Revolver,2
14 - Diaries of the Great War, Webley Mk VI,3
14 - Diaries of the Great War, Nagant M1895,2
14 - Diaries of the Great War, Turkish Mauser 1938,9
14 - Diaries of the Great War, Unknown Mauser Rifle,4
14 - Diaries of the Great War, Steyr Mannlicher M1895,5
14 - Diaries of the Great War, Berthier Fusil Modèle 1907-15,3
14 - Diaries of the Great War, Berthier Fusil Modèle 1907-16,1
14 - Diaries of the Great War, Lee-Enfield No. 1 Mk III*,3
14 - Diaries of the Great War, Mosin Nagant 1891,2
14 - Diaries of the Great War, Mosin Nagant M91/30,6
14 - Diaries of the Great War, Maxim MG 08,2
14 - Diaries of the Great War, M67 hand grenade,2
14 - Diaries of the Great War, Model 16 Stielhandgranate,1
1864, Danish 1849 percussion Pistol,4
1864, Colt 1851 Navy,3
1864, Colt Walker 1847,3
1864, Swedish 1850 Cavalry Pistol,1
1864, Springfield Model 1842,5
1864, Enfield Pattern 1853,1
1864, Enfield Pattern 1861 Musketoon,2
